Date, Open, High, Low, Close
11/28/25, 17.41, 18.52, 15.78, 16.35
11/27/25, 18.25, 18.70, 16.93, 17.19
11/26/25, 18.25, 18.70, 16.93, 17.19
11/25/25, 20.55, 21.77, 18.39, 18.56
11/24/25, 22.69, 23.68, 20.41, 20.52
11/21/25, 25.97, 27.84, 22.54, 23.43
11/20/25, 20.78, 28.27, 19.28, 26.42
11/19/25, 24.52, 24.79, 21.93, 23.66
11/18/25, 23.54, 25.84, 22.91, 24.69
11/17/25, 19.58, 23.44, 19.54, 22.38
11/14/25, 21.33, 23.03, 19.56, 19.83
11/13/25, 17.61, 21.31, 17.51, 20.00
11/12/25, 17.21, 18.06, 17.10, 17.51
11/11/25, 17.90, 18.01, 17.25, 17.28
11/10/25, 18.58, 18.82, 17.60, 17.60
11/07/25, 19.52, 22.72, 19.08, 19.08
11/06/25, 18.36, 20.31, 17.64, 19.50
11/05/25, 19.37, 20.02, 17.31, 18.01
11/04/25, 19.73, 20.48, 17.90, 19.00
11/03/25, 18.06, 18.83, 17.00, 17.17
10/31/25, 16.43, 18.54, 15.96, 17.44
10/30/25, 16.26, 17.41, 15.73, 16.91
10/29/25, 16.34, 17.58, 16.26, 16.92
10/28/25, 15.95, 16.55, 15.66, 16.42
10/27/25, 15.73, 16.07, 15.62, 15.79
10/24/25, 17.02, 17.22, 16.02, 16.37
10/23/25, 18.36, 19.35, 17.08, 17.30
10/22/25, 17.84, 21.01, 17.73, 18.60
10/21/25, 18.65, 18.89, 17.40, 17.87
10/20/25, 20.53, 21.02, 18.23, 18.23
10/17/25, 28.41, 28.99, 20.73, 20.78
10/16/25, 20.49, 25.43, 19.85, 25.31
10/15/25, 20.02, 22.44, 19.11, 20.64
10/14/25, 21.46, 22.94, 19.18, 20.81
10/13/25, 19.45, 20.77, 18.61, 19.03
10/10/25, 16.36, 22.44, 16.23, 21.66
10/09/25, 16.31, 17.27, 16.26, 16.43
10/08/25, 17.17, 17.20, 16.23, 16.30
